year,state_code,candidate,votes
2020,AK,DONALD J TRUMP,189951.0
2020,AK,JOSEPH R BIDEN JR,153778.0
2020,AK,JO JORGENSEN,8897.0
2020,AK,OTHER,4943.0
2020,AL,DONALD J TRUMP,1441170.0
2020,AL,JOSEPH R BIDEN JR,849624.0
2020,AL,OTHER,32488.0
2020,AR,DONALD J TRUMP,760647.0
2020,AR,JOSEPH R BIDEN JR,423932.0
2020,AR,OTHER,21357.0
2020,AR,JO JORGENSEN,13133.0
2020,AZ,JOSEPH R BIDEN JR,1672143.0
2020,AZ,DONALD J TRUMP,1661686.0
2020,AZ,JO JORGENSEN,51465.0
2020,AZ,OTHER,0.0
2020,CA,JOSEPH R BIDEN JR,11110250.0
2020,CA,DONALD J TRUMP,6006429.0
2020,CA,OTHER,194043.0
2020,CA,JO JORGENSEN,187895.0
2020,CO,JOSEPH R BIDEN JR,1804352.0
2020,CO,DONALD J TRUMP,1364607.0
2020,CO,JO JORGENSEN,52460.0
2020,CO,OTHER,35561.0
2020,CT,JOSEPH R BIDEN JR,1080831.0
2020,CT,DONALD J TRUMP,714717.0
2020,CT,JO JORGENSEN,20230.0
2020,CT,OTHER,8079.0
2020,DC,JOSEPH R BIDEN JR,317323.0
2020,DC,DONALD J TRUMP,18586.0
2020,DC,OTHER,6411.0
2020,DC,JO JORGENSEN,2036.0
2020,DE,JOSEPH R BIDEN JR,296268.0
2020,DE,DONALD J TRUMP,200603.0
2020,DE,JO JORGENSEN,5000.0
2020,DE,OTHER,2139.0
2020,FL,DONALD J TRUMP,5668731.0
2020,FL,JOSEPH R BIDEN JR,5297045.0
2020,FL,JO JORGENSEN,70324.0
2020,FL,OTHER,31356.0
2020,GA,JOSEPH R BIDEN JR,2474507.0
2020,GA,DONALD J TRUMP,2461837.0
2020,GA,JO JORGENSEN,62138.0
2020,HI,JOSEPH R BIDEN JR,366127.0
2020,HI,DONALD J TRUMP,196855.0
2020,HI,OTHER,5936.0
2020,HI,JO JORGENSEN,5539.0
2020,IA,DONALD J TRUMP,902009.0
2020,IA,JOSEPH R BIDEN JR,759061.0
2020,IA,JO JORGENSEN,19637.0
2020,IA,OTHER,10164.0
2020,ID,DONALD J TRUMP,554119.0
2020,ID,JOSEPH R BIDEN JR,287021.0
2020,ID,JO JORGENSEN,16404.0
2020,ID,OTHER,9817.0
2020,IL,JOSEPH R BIDEN JR,3471915.0
2020,IL,DONALD J TRUMP,2446891.0
2020,IL,JO JORGENSEN,66544.0
2020,IL,OTHER,48394.0
2020,IN,DONALD J TRUMP,1729519.0
2020,IN,JOSEPH R BIDEN JR,1242416.0
2020,IN,JO JORGENSEN,59232.0
2020,IN,OTHER,1954.0
2020,KS,DONALD J TRUMP,771406.0
2020,KS,JOSEPH R BIDEN JR,570323.0
2020,KS,JO JORGENSEN,30574.0
2020,KY,DONALD J TRUMP,1326418.0
2020,KY,JOSEPH R BIDEN JR,772285.0
2020,KY,JO JORGENSEN,26217.0
2020,KY,OTHER,10076.0
2020,LA,DONALD J TRUMP,1255776.0
2020,LA,JOSEPH R BIDEN JR,856034.0
2020,LA,JO JORGENSEN,21645.0
2020,LA,OTHER,14607.0
2020,MA,JOSEPH R BIDEN JR,2382202.0
2020,MA,DONALD J TRUMP,1167202.0
2020,MA,OTHER,61588.0
2020,MA,JO JORGENSEN,47013.0
2020,MD,JOSEPH R BIDEN JR,1985023.0
2020,MD,DONALD J TRUMP,976414.0
2020,MD,OTHER,42106.0
2020,MD,JO JORGENSEN,33488.0
2020,ME,JOSEPH R BIDEN JR,430473.0
2020,ME,DONALD J TRUMP,359899.0
2020,ME,OTHER,18157.0
2020,ME,JO JORGENSEN,14005.0
2020,MI,JOSEPH R BIDEN JR,2804040.0
2020,MI,DONALD J TRUMP,2649852.0
2020,MI,JO JORGENSEN,60381.0
2020,MI,OTHER,25029.0
2020,MN,JOSEPH R BIDEN JR,1717077.0
2020,MN,DONALD J TRUMP,1484065.0
2020,MN,OTHER,41053.0
2020,MN,JO JORGENSEN,34976.0
2020,MO,DONALD J TRUMP,1718736.0
2020,MO,JOSEPH R BIDEN JR,1253014.0
2020,MO,JO JORGENSEN,41205.0
2020,MO,OTHER,13007.0
2020,MS,DONALD J TRUMP,756764.0
2020,MS,JOSEPH R BIDEN JR,539398.0
2020,MS,OTHER,9571.0
2020,MS,JO JORGENSEN,8026.0
2020,MT,DONALD J TRUMP,343602.0
2020,MT,JOSEPH R BIDEN JR,244786.0
2020,MT,JO JORGENSEN,15252.0
2020,NC,DONALD J TRUMP,2758773.0
2020,NC,JOSEPH R BIDEN JR,2684292.0
2020,NC,JO JORGENSEN,48678.0
2020,NC,OTHER,33059.0
2020,ND,DONALD J TRUMP,235595.0
2020,ND,JOSEPH R BIDEN JR,114902.0
2020,ND,JO JORGENSEN,9393.0
2020,ND,OTHER,1929.0
2020,NE,DONALD J TRUMP,556846.0
2020,NE,JOSEPH R BIDEN JR,374583.0
2020,NE,JO JORGENSEN,20283.0
2020,NH,JOSEPH R BIDEN JR,424937.0
2020,NH,DONALD J TRUMP,365660.0
2020,NH,JO JORGENSEN,13236.0
2020,NJ,JOSEPH R BIDEN JR,2608335.0
2020,NJ,DONALD J TRUMP,1883274.0
2020,NJ,JO JORGENSEN,31677.0
2020,NJ,OTHER,26067.0
2020,NM,JOSEPH R BIDEN JR,501614.0
2020,NM,DONALD J TRUMP,401894.0
2020,NM,JO JORGENSEN,12585.0
2020,NM,OTHER,7872.0
2020,NV,JOSEPH R BIDEN JR,703314.0
2020,NV,DONALD J TRUMP,669608.0
2020,NV,OTHER,17215.0
2020,NV,JO JORGENSEN,14774.0
2020,NY,JOSEPH R BIDEN JR,5230985.0
2020,NY,DONALD J TRUMP,3244798.0
2020,NY,OTHER,125718.0
2020,NY,JO JORGENSEN,60234.0
2020,OH,DONALD J TRUMP,3154834.0
2020,OH,JOSEPH R BIDEN JR,2679165.0
2020,OH,JO JORGENSEN,67569.0
2020,OH,OTHER,20634.0
2020,OK,DONALD J TRUMP,1020280.0
2020,OK,JOSEPH R BIDEN JR,503890.0
2020,OK,JO JORGENSEN,24731.0
2020,OK,OTHER,11798.0
2020,OR,JOSEPH R BIDEN JR,1340383.0
2020,OR,DONALD J TRUMP,958448.0
2020,OR,JO JORGENSEN,41582.0
2020,OR,OTHER,33908.0
2020,PA,JOSEPH R BIDEN JR,3458229.0
2020,PA,DONALD J TRUMP,3377674.0
2020,PA,JO JORGENSEN,79380.0
2020,RI,JOSEPH R BIDEN JR,307486.0
2020,RI,DONALD J TRUMP,199922.0
2020,RI,OTHER,5296.0
2020,RI,JO JORGENSEN,5053.0
2020,SC,DONALD J TRUMP,1385103.0
2020,SC,JOSEPH R BIDEN JR,1091541.0
2020,SC,JO JORGENSEN,27916.0
2020,SC,OTHER,8769.0
2020,SD,DONALD J TRUMP,261043.0
2020,SD,JOSEPH R BIDEN JR,150471.0
2020,SD,JO JORGENSEN,11095.0
2020,TN,DONALD J TRUMP,1852475.0
2020,TN,JOSEPH R BIDEN JR,1143711.0
2020,TN,OTHER,57665.0
2020,TX,DONALD J TRUMP,5890347.0
2020,TX,JOSEPH R BIDEN JR,5259126.0
2020,TX,JO JORGENSEN,126243.0
2020,TX,OTHER,39340.0
2020,UT,DONALD J TRUMP,865139.0
2020,UT,JOSEPH R BIDEN JR,560282.0
2020,UT,JO JORGENSEN,38447.0
